,bedrooms,bathrooms,area,neighbourhood,price
0,5 Bedrooms,3 Bathrooms,155,,
1,3 Bedrooms,3 Bathrooms,170,,
2,5 Bedrooms,3 Bathrooms,280,Al-Taif,"28,500"
3,3 Bedrooms,4 Bathrooms,110,Khartoum,apartment for sale Third Floor
4,2 Bedrooms,2 Bathrooms,234,Al-Kalakla,"5,700,000"
5,3 Bedrooms,3 Bathrooms,155,Al-Manshiya,"58,117.72"
6,2 Bedrooms,2 Bathrooms,234,Al-Kalakla,"5,700,000"
7,3 Bedrooms,3 Bathrooms,145,,
8,2 Bedrooms,2 Bathrooms,234,Al-Kalakla,"5,700,000"
9,2 Bedrooms,3 Bathrooms,140,Khartoum,apartment is available for sale - Arkaweet
10,3 Bedrooms,3 Bathrooms,202,Al-Amarat,"55,350.21"
11,3 Bedrooms,3 Bathrooms,120,Khartoum,apartment on Fifth Floor is up for sale
12,285,1 Bedroom,One Bathroom,Al-Amarat,for sale apartment consists of 1 Bedroom - Al-Amarat
13,2 Bedrooms,One Bathroom,127,Khartoum,Apartment 2 Bedrooms for sale
14,3 Bedrooms,3 Bathrooms,120,Al-Amarat,"14,400"
15,2 Bedrooms,3 Bathrooms,180,Arkaweet,"12,177,046.2"
16,2 Bedrooms,2 Bathrooms,165,Khartoum,apartment for sale Second Floor
17,3 Bedrooms,One Bathroom,240,Omdurman,22
18,3 Bedrooms,3 Bathrooms,202,Al-Amarat,"55,350.21"
19,3 Bedrooms,3 Bathrooms,154,Khartoum,for sale apartment in Khartoum  - Al-Amarat
20,3 Bedrooms,3 Bathrooms,138,,
21,2 Bedrooms,2 Bathrooms,0,,
22,3 Bedrooms,2 Bathrooms,0,Al-Amarat,"4,000,000"
23,2 Bedrooms,2 Bathrooms,202,Al-Amarat,"55,350.21"
24,3 Bedrooms,3 Bathrooms,300,Khartoum,for sale apartment of  sqm
25,3 Bedrooms,3 Bathrooms,150,,
26,6+ Bedrooms,5+ Bathrooms,23456,Bahri,"100,000"
27,6+ Bedrooms,5+ Bathrooms,280,Al-Taif,"29,000"
28,5 Bedrooms,3 Bathrooms,380,,
29,6+ Bedrooms,5+ Bathrooms,250,Al-Amarat,"55,350.21"
30,3 Bedrooms,3 Bathrooms,145,,8
31,3 Bedrooms,2 Bathrooms,300,,11
32,2 Bedrooms,2 Bathrooms,165,Arkaweet,"135,000"
